Node1;Node2;Weight
0;385;1
0;131;1
0;515;1
0;643;1
0;389;1
0;645;1
0;902;1
0;393;1
0;394;1
0;778;1
0;908;1
0;141;1
0;398;1
0;527;1
0;655;1
0;528;1
0;145;1
0;789;1
0;22;1
0;23;1
0;791;1
0;26;1
0;155;1
0;413;1
0;670;1
0;161;1
0;291;1
0;419;1
0;931;1
0;36;1
0;164;1
0;932;1
0;38;1
0;678;1
0;681;1
0;682;1
0;172;1
0;45;1
0;429;1
0;819;1
0;564;1
0;692;1
0;949;1
0;566;1
0;440;1
0;955;1
0;700;1
0;957;1
0;322;1
0;195;1
0;836;1
0;454;1
0;455;1
0;967;1
0;200;1
0;712;1
0;840;1
0;73;1
0;202;1
0;75;1
0;589;1
0;464;1
0;466;1
0;467;1
0;342;1
0;598;1
0;216;1
0;346;1
0;347;1
0;221;1
0;862;1
0;96;1
0;736;1
0;97;1
0;354;1
0;994;1
0;355;1
0;100;1
0;998;1
0;616;1
0;362;1
0;235;1
0;876;1
0;111;1
0;112;1
0;240;1
0;241;1
0;885;1
0;246;1
0;886;1
0;891;1
0;381;1
0;510;1
1;257;1
1;515;1
1;775;1
1;521;1
1;786;1
1;277;1
1;23;1
1;279;1
1;535;1
1;24;1
1;29;1
1;31;1
1;551;1
1;298;1
1;43;1
1;299;1
1;300;1
1;47;1
1;52;1
1;308;1
1;820;1
1;569;1
1;825;1
1;571;1
1;828;1
1;317;1
1;573;1
1;832;1
1;65;1
1;838;1
1;74;1
1;844;1
1;589;1
1;847;1
1;849;1
1;92;1
1;861;1
1;352;1
1;865;1
1;355;1
1;101;1
1;870;1
1;360;1
1;616;1
1;105;1
1;361;1
1;617;1
1;106;1
1;109;1
1;366;1
1;878;1
1;889;1
1;644;1
1;647;1
1;906;1
1;907;1
1;911;1
1;914;1
1;148;1
1;149;1
1;151;1
1;410;1
1;923;1
1;924;1
1;158;1
1;926;1
1;164;1
1;167;1
1;936;1
1;425;1
1;171;1
1;939;1
1;428;1
1;435;1
1;181;1
1;950;1
1;439;1
1;953;1
1;699;1
1;450;1
1;459;1
1;204;1
1;716;1
1;974;1
1;975;1
1;464;1
1;465;1
1;977;1
1;978;1
1;467;1
1;723;1
1;216;1
1;731;1
1;735;1
1;736;1
1;481;1
1;995;1
1;997;1
1;745;1
1;746;1
1;492;1
1;504;1
1;761;1
1;762;1
1;509;1
1;766;1
1;511;1
2;513;1
2;515;1
2;260;1
2;520;1
2;265;1
2;266;1
2;11;1
2;272;1
2;528;1
2;20;1
2;277;1
2;25;1
2;26;1
2;283;1
2;284;1
2;29;1
2;285;1
2;542;1
2;288;1
2;544;1
2;289;1
2;803;1
2;550;1
2;297;1
2;302;1
2;816;1
2;561;1
2;562;1
2;818;1
2;821;1
2;314;1
2;571;1
2;317;1
2;830;1
2;63;1
2;321;1
2;577;1
2;834;1
2;69;1
2;333;1
2;589;1
2;78;1
2;593;1
2;341;1
2;856;1
2;603;1
2;859;1
2;607;1
2;98;1
2;354;1
2;869;1
2;106;1
2;364;1
2;621;1
2;370;1
2;115;1
2;374;1
2;631;1
2;376;1
2;121;1
2;634;1
2;382;1
2;385;1
2;900;1
2;133;1
2;645;1
2;139;1
2;140;1
2;653;1
2;911;1
2;144;1
2;146;1
2;920;1
2;671;1
2;419;1
2;938;1
2;944;1
2;434;1
2;690;1
2;185;1
2;697;1
2;187;1
2;450;1
2;451;1
2;707;1
2;202;1
2;970;1
2;207;1
2;463;1
2;214;1
2;983;1
2;218;1
